permit_number,facility,address,city,state,zipcode,latitude,longitude
1-1001*,PruittHealth-Fairburn,7560 Butner RD,Fairburn,GA,30213,33.6417901,-84.6352715
1-1005,Domino's Pizza #5705,7529 Roswell RD,Atlanta,GA,30350,33.9610268,-84.3638379
1-1008*,Domino's Pizza #4163,10955 Jones Bridge RD NE STE 103,Alpharetta,GA,30022,34.0453816,-84.2213751
1-1009*,Domino's Pizza #4192,12460 Crabapple STE 102,Alpharetta,GA,30004,34.0854472,-84.3558410
1-101,American Legion,201 Wills RD,Alpharetta,GA,30201,34.0744685,-84.3124141
1-10475,Gibney's Pubs,231 Peachtree Center AVE,Atlanta,GA,30303,33.7603687,-84.3863588
1-10482,Chic-A-Loes,2879 East Point ST,Eastpoint,GA,30344,33.6767422,-84.4432352
1-10596*,Publico (KITCHEN),1104 Crescent AVE,Atlanta,GA,30309,33.7848384,-84.3845741
1-1067*,Eats,600 Ponce De Leon AVE,Atlanta,GA,30308,33.7736968,-84.3672046
1-10811,New Horizons Sr. Center,745 Orr ST,Atlanta,GA,30314,33.7631158,-84.4116036
1-10831*,Pacific Rim Bistro,303 Peachtree Center AVE NE,Atlanta,GA,30308,33.7627649,-84.3864991
1-1084*,Einstein Brothers,"1100 Hammond Dr , Suite 600",Atlanta,GA,30328,33.9195355,-84.3525657
1-10875,Rheas II,11490 Alpharetta HWY,Roswell,GA,30076,34.0604236,-84.3256490
1-10922,Sotto Sotto,313 North Highland AVE,Atlanta,GA,30307,33.7630372,-84.3576759
1-10923,Soul Vegetarian South,879 Ralph David Abernathy BLVD STE B,Atlanta,GA,30310,33.7384972,-84.4166511
1-10932,St. Ives Country Club Main Bar,1 St. Ives Country Club DR,Duluth,GA,30097,34.0306525,-84.1833684
1-1094*,El Ponce,939 Ponce De Leon AVE,Atlanta,GA,30306,33.7735389,-84.3566285
1-10942,Subway,68 Broad ST,Atlanta,GA,30303,33.7560067,-84.3894245
1-1098*,Voya Bistro,4711 Best RD,College Park,GA,30337,33.6261841,-84.4608054
1-1111*,El Porton,11950 Jones Bridge,Alpharetta,GA,30022,34.0713997,-84.2044383
1-1116*,"El Taco Veloz II, Inc.",5670 Roswell RD,Atlanta,GA,30342,33.9092553,-84.3791133
1-1152*,Esther Jackson Elementary School,1400 Martin,Roswell,GA,30076,34.0535594,-84.3374088
1-1160*,Evoline C West Elem Sch,7040 Rivertown,Fairburn,GA,30213,33.5724152,-84.6199496
1-1176*,Fancy Pantry,10595 Old Alabama Rd Connector,Alpharetta,GA,30022,34.0202782,-84.2757333
1-1177*,Fannie's Rest. & Lounge,4401 Fulton Industrial BLVD,Atlanta,GA,30336,33.7650179,-84.5324928
1-11818*,Fat Matts Rib Shack,1811 Piedmont RD NE,Atlanta,GA,30324,33.8080596,-84.3658903
1-1190*,Fellini's,1991 Howell Mill RD,Atlanta,GA,30318,33.8091393,-84.4126296
1-1191*,Fellini's Pizza,4429 Roswell RD,Atlanta,GA,30342,33.8760655,-84.3799745
1-1213*,Cafe Xpress,675 West Peachtree ST STE C-1,Atlanta,GA,30308,33.7727744,-84.3866474
1-12665,Subway,1175 Ralph David Abernathy BLVD,Atlanta,GA,30310,33.7388996,-84.4262274
1-127*,Anna Lee's,425 Market PL,Roswell,GA,30076,34.0310237,-84.3408532
1-12756,Chef For A Night,499 Peachtree ST,Atlanta,GA,30308,33.7681501,-84.3852112
1-1277*,Georgia Grille,2290 Peachtree RD N,Atlanta,GA,30309,33.8171632,-84.3900366
1-128*,Annie Thai Castle,3195 Roswell RD,Atlanta,GA,30305,33.8422175,-84.3784766
1-12843,Food 101,4969 Roswell RD STE 200,Atlanta,GA,30342,33.8900622,-84.3807352
1-12845,Ghion Cultural Hall,2080 Cheshire Bridge RD,Atlanta,GA,30324,33.8125269,-84.3551497
1-1288*,Greyhound Lines Food Service,232 Forsyth ST,Atlanta,GA,30303,33.7485402,-84.3963663
1-1290*,Gold Rush Kitchen,2608 Metropolitan PKWY S,Atlanta,GA,30315,33.6837330,-84.4072165
1-1291*,Goldberg's Bagel Company,4383 Roswell RD,Atlanta,GA,30342,33.8741705,-84.3809490
1-12979,Wendy's,5965 Bakers Ferry RD,Atlanta,GA,30336,33.7311475,-84.5737445
(1-13),1st Methodist Church,360 Peachtree ST N,Atlanta,GA,30308,33.7644501,-84.3864794
1-130*,Ansley Golf Club Pool & Tennis,196 Montgomery Ferry DR,Atlanta,GA,30309,33.8002874,-84.3757539
1-13021,Fontaine's Oyster House,1026 1/2 North Highland AVE NE,Atlanta,GA,30306,33.7826177,-84.3544905
1-13026,Wingate Inn D/b/A The Burgess Hotel (Kitchen),3600 Piedmont RD NE,Atlanta,GA,30305,33.8525912,-84.3814332
1-13037,Antica Posta,519 East Paces Ferry RD,Atlanta,GA,30305,33.8383954,-84.3708596
1-13052,Great Wraps,1 CNN Center STE 227,Atlanta,GA,30303,33.7577472,-84.3948694
1-13061,Paolo's,1025 Virginia AVE NE,Atlanta,GA,30306,33.7822698,-84.3537470
1-13090*,McDonald's,1166 Ralph David Abernathy BLVD SW,Atlanta,GA,30310,33.7382118,-84.4257599
1-13092,World Changers Ministries (Kitchen),2500 Burdett RD,College Park,GA,30349,33.5944107,-84.4718161
